No.,Name,B/T,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School(s),University
0,Joey DeMucci,R/R,C,6’2”,170,Sr.,"Swarthmore, PA / Monsignor Bonner",Monmouth,Penn State
2,Spencer Barnett,L/R,IF,6’2”,205,Jr.,"Pittsburgh, PA / North Allegheny",West Virginia,Penn State
4,Preston Yaucher,R/R,IF,5’11”,200,Fr.,"Verona, WI / Edgewood",—,Penn State
6,Cohl Mercado,L/L,OF,5’8”,155,R-Jr.,"Ocean View, NJ / St. Joseph Regional",Boston College,Penn State
7,Nate Voss,R/R,C,6’0”,200,Sr.,"Chicago, IL / Marist",Michigan / Iowa Western CC,Penn State
8,Michael Anderson,R/R,IF,6’3”,230,Sr.,"Havertown, PA / Monsignor Bonner",Rhode Island / Arkansas,Penn State
9,Kevin Karstetter,R/R,IF,6’3”,220,Gr.,"State College, PA / IMG Academy",State College of FL / Arizona State / Tampa,Penn State
10,Ben DeMell,L/R,RHP,6’5”,205,R-Sr.,"Concord, OH / Gilmour Academy",—,Penn State
11,Mason Butash,R/R,RHP,6’2”,195,Jr.,"Chantilly, VA / Freedom",—,Penn State
12,Skip Shenosky,R/R,RHP,6’5”,215,Sr.,"Lancaster, PA / Manheim Township",Wake Forest,Penn State
13,Jayden Davis,R/R,IF,5’10”,195,Sr.,"Cookeville, TN / Cookeville",Samford / Vanderbilt,Penn State
14,Jimmy Gray,L/R,C,6’0”,175,Fr.,"Aston, PA / Salesianum School",—,Penn State
15,Ben Hudson,L/R,RHP,6’2”,185,So.,"Medford, NJ / Shawnee",West Virginia,Penn State
16,Dimond Loosli,R/R,RHP,6’1”,185,Sr.,"Walnut Creek, CA / Las Lomas",Orange Coast College,Penn State
17,Logan Olson,L/L,LHP,6’5”,200,Sr.,"Farmington, MN / Holy Angels",Oregon / Iowa Western CC,Penn State
18,Avery Smith,R/R,C,6’2”,215,Fr.,"East Greenville, PA / Perkiomen",—,Penn State
19,Chase Roberts,R/R,IF,6’2”,195,Fr.,"Medford Lakes, NJ / Shawnee",—,Penn State
20,Frankie Sanchez,L/R,RHP,6’0”,195,R-Sr.,"Kendall Park, NJ / South Brunswick",Southern New Hampshire,Penn State
21,Ethan Bauerschmidt,R/R,RHP,6’3”,180,Fr.,"Pleasant Prairie, WI / Tremper",—,Penn State
22,Ren Devereux,L/R,RHP,6’2”,200,Fr.,"Derwood, MD / St. John’s College HS",—,Penn State
23,Bryce Molinaro,R/R,IF,6’0”,190,R-Jr.,"Drums, PA / Hazleton Area",St. John’s,Penn State
24,Jesse Jaconski,R/R,IF/OF,5’11”,200,Sr.,"Plymouth Meeting, PA / Whitemarsh",North Carolina / Harford CC,Penn State
25,Robert Brown III,R/R,RHP,6’1”,200,Fr.,"North Andover, MA / Phillips Andover",—,Penn State
26,Matt Morash,L/L,LHP,6’0”,200,Jr.,"Westford, MA / Westford Academy",—,Penn State
27,Mason Horwat,R/R,RHP,6’1”,185,Jr.,"Pittsburgh, PA / Avonworth",—,Penn State
29,Carson Renner,R/R,RHP,6’2”,215,Jr.,"Alburtis, PA / Brandywine Heights",East Stroudsburg,Penn State
30,Leo Boucher,R/R,RHP,6’0”,185,Fr.,"Chester, NH / Pinkerton Academy",—,Penn State
31,Braden Leed,L/R,RHP,6’3”,210,Fr.,"Lancaster, PA / Manheim Township",—,Penn State
33,Peter Thompson,R/R,RHP,6’4”,195,Fr.,"Northbrook, IL / Loyola Academy",—,Penn State
34,Colin Fitzgerald,R/R,RHP,6’1”,200,R-Sr.,"Lititz, PA / Manheim Township",Maine,Penn State
35,Dylan Firmstone,R/R,RHP,6’3”,178,Fr.,"Greensburg, PA / Hempfield Area",—,Penn State
37,Isaiah Shayter,R/R,RHP,6’2”,190,Fr.,"Elizabethtown, PA / Elizabethtown",—,Penn State
38,Maddox McDonald,R/R,OF,6’1”,205,Sr.,"San Antonio, TX / Antonian Prep",Trinity,Penn State
41,Justin Turcovski,L/L,OF,5’10”,190,R-Sr.,"North Huntingdon, PA / Norwin",Pitt-Johnstown,Penn State
46,Jack Messina,L/L,1B,6’0”,205,Jr.,"State College, PA / State College",—,Penn State
47,Jack Porter,R/R,IF/OF,6’1”,185,R-Jr.,"Clearwater, FL / Father Ryan",UCF / John A. Logan College,Penn State
48,Harrison Lollin,R/R,RHP,6’0”,205,So.,"Monroe Twp., NJ / Monroe Township",—,Penn State
49,Matthew VanOstenbridge,L/L,LHP,5’10”,180,So.,"Sinking Spring, PA / Wilson",—,Penn State
50,Kyle Emmons,R/R,RHP,6’4”,220,Jr.,"Pasadena, MD / Archbishop Spalding",Towson,Penn State
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
