No.,Name,Pos.,B/T,Yr.,Ht.,Wt.,Hometown / High School,Previous School,Major,University
1,Dylan Drake,IF,L/R,Junior,10-May,185,"Sacramento, CA / Christian Brothers",Sacramento City JC,Selling & Sales Mgmt,Purdue
2,Charlie Vercruysse,IF,R/R,RS Freshman,2-Jun,185,"Bloomington, IL / University HS",Notre Dame,Communications,Purdue
3,Eli Anderson,OF,L/R,Senior,Jun-00,175,"Fairmont, MN / Fairmont",North Iowa Area JC,Selling & Sales Mgmt,Purdue
4,Brandon Rogers,OF,R/R,Senior,11-May,205,"Chicago, IL / Mount Carmel",Arizona,Communication,Purdue
5,Jackson Bessette,C,R/R,Senior,Jun-00,200,"Bartlett, IL / South Elgin",UIC,General Management,Purdue
6,Westin Boyle,IF,R/R,Freshman,3-Jun,190,"Overland Park, KS / St. Thomas Aquinas",—,Exploratory Studies,Purdue
7,Kaden Frei,IF,R/R,Freshman,9-May,175,"West Orange, NJ / Seton Hall Prep",—,Economics,Purdue
8,Quincy Malbrough,OF,R/R,Junior,Jun-00,200,"Loomis, CA / Del Oro",Folsom Lake JC,Kinesiology,Purdue
9,Ali Banks,IF/OF,R/R,Junior,1-Jun,185,"Stone Mountain, GA / Parkview",Georgia Highlands JC,Communications,Purdue
10,Sam Flores,IF,L/R,Senior,1-Jun,220,"Lufkin, TX / Lufkin",Kansas State,Economics,Purdue
11,Lucas Grant,LHP,L/L,Freshman,1-Jun,195,"Joliet, IL / Joliet Academy",—,Management,Purdue
13,Sergio DeCello,UTL,S/R,RS Senior,10-May,200,"Hamilton, OH / Badin",Arizona Western JC,Sociology,Purdue
14,Ross Highfill,C/OF,R/R,Senior,Jun-00,205,"Madison, MS / Madison Central",Mississippi State,American Studies,Purdue
15,Zach Zychowski,IF,R/R,Junior,10-May,185,"Cedar Lake, IN / Hanover Central",SW Illinois JC,Selling & Sales Mgmt,Purdue
16,Trevor Kester-Johnson,LHP,L/L,RS Junior,Jun-00,190,"Morgan Hill, CA / Live Oak",Santa Barbara City JC,Economics,Purdue
17,Trey Swiderski,OF,R/R,Junior,3-Jun,205,"Joliet, IL / Joliet Academy",John A. Logan JC,Selling & Sales Mgmt,Purdue
18,Joe Trenerry,RHP,R/R,Sophomore,4-Jun,225,"Granger, IN / Penn",—,Selling & Sales Mgmt,Purdue
19,Avery Moore,OF,R/R,Senior,2-Jun,200,"Omaha, NE / Millard West",Southeast JC,Kinesiology,Purdue
20,Aaron Manias,IF/OF,L/R,RS Senior,2-Jun,210,"Uxbridge, Ontario / Uxbridge",Nebraska,Selling & Sales Mgmt,Purdue
21,CJ Richmond,IF,L/L,Fifth Year,3-Jun,240,"Indianapolis, IN / Park Tudor",Western Michigan,American Studies,Purdue
22,Jacob Boland,RHP,R/R,Sophomore,4-Jun,200,"Cincinnati, OH / Fairfield",Chipola JC,Selling & Sales Mgmt,Purdue
23,Jarvis Evans,LHP,L/L,Senior,4-Jun,215,"Buford, GA / Georgia Premier Academy",South Carolina,American Studies,Purdue
25,Jimmy Dionne,1B/OF,L/L,Junior,4-Jun,230,"Quebec City, QC / Academy Baseball Canada",Howard JC,Selling & Sales Mgmt,Purdue
26,Cole Van Assen,RHP,R/R,Junior,3-Jun,205,"Tinley Park, IL / Brother Rice",—,Educational Studies,Purdue
27,Nick Kolze,RHP,R/R,Senior,3-Jun,205,"Romeoville, IL / Romeoville",Heartland JC,Communication,Purdue
28,Tro Fellings,LHP,L/L,Freshman,4-Jun,200,"Kalamazoo, MI / Kalamazoo Central",—,Exploratory Studies,Purdue
29,Gavin Beuter,RHP,R/R,Senior,4-Jun,210,"Three Rivers, MI / IMG Academy",Kellogg JC,Selling & Sales Mgmt,Purdue
30,Graham Kollen,RHP,R/R,Grad Student,3-Jun,210,"Fort Wayne, IN / Homestead",Huntington,Communication & Leadership,Purdue
31,Zach Erdman,LHP,L/L,Senior,2-Jun,185,"Keller, TX / Keller",Texas Tech,Finance,Purdue
33,Austin Klug,RHP,R/R,Senior,4-Jun,210,"Caledonia, MN / Caledonia",North Iowa Area JC,Communication,Purdue
34,Noah Filer,RHP,R/R,Freshman,3-Jun,190,"Wayzata, MN / Wayzata",—,Selling & Sales Mgmt,Purdue
35,Thomas Lynch,C/IF,L/R,RS Freshman,1-Jun,215,"Evansville, IN / Memorial",—,Financial Counseling & Planning,Purdue
37,Jackson Greer,RHP,R/R,RS Sophomore,1-Jun,185,"Dallas, GA / North Paulding",Georgia Highlands JC,Construction Mgmt,Purdue
38,Evan Schweizer,RHP,R/R,RS Freshman,5-Jun,210,"Oakville, Ontario / Garth Webb",—,Communications,Purdue
40,Barron Sawyer,RHP,R/R,Senior,6-Jun,235,"Abbeville, LA / St. Thomas More",Northeast Texas JC,Communications,Purdue
42,Thomas Howard,RHP,R/R,RS Sophomore,4-Jun,225,"Lexington, KY / Fredrick Douglass",John A. Logan JC,Selling & Sales Mgmt,Purdue
55,Jake Kramer,RHP,R/R,Senior,4-Jun,230,"Greensburg, PA / Hempfield",California (Pa.),Financial Counseling & Planning,Purdue
