No.,Name,B/T,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Major,University
1,Kevin Villares,R/R,INF,5’8”,161,Senior,"Union City, NJ / High Tech",Quantitative Finance,Stevens
2,Dylan Fishbough,R/R,OF,6’1”,190,Junior,"Carlsbad, CA / La Costa Canyon",Finance,Stevens
3,Eli Somers,L/R,OF/1B,6’1”,195,Senior,"Rancho Palos Verdes, CA / Palos Verdes Peninsula",Quantitative Finance,Stevens
4,Colby Ching,R/R,INF,5’8”,147,Senior,"Honolulu, HI / ‘Iolani School",Civil Engineering,Stevens
5,Kieran O’Brien,R/R,UTL,6’0”,185,Graduate Student,"Wappingers Falls, NY / Roy C. Ketcham",Chemical Engineering,Stevens
6,Luke Mahala,R/R,OF,6’3”,210,Sophomore,"Far Hills, NJ / Seton Hall Prep",Business & Technology,Stevens
7,Sean Shea,R/R,RHP,6’2”,205,Senior,"Westwood, MA / Westwood",Biomedical Engineering,Stevens
8,Victor Schilleci,L/L,1B,6’3”,210,Senior,"Mandeville, LA / Fontainebleau",Mechanical Engineering,Stevens
9,Jonah Swarts,R/R,RHP,6’2”,192,Junior,"Chester, NJ / West Morris Mendham",Mechanical Engineering,Stevens
10,Marc Rivera,R/R,RHP,6’0”,194,Graduate Student,"Englishtown, NJ / Manalapan",Information Systems,Stevens
11,Zach DeGeorge,L/L,LHP,6’0”,195,Junior,"New Providence, NJ / New Providence",Mechanical Engineering,Stevens
12,William Sotiropoulos,R/R,RHP,6’2”,200,Junior,"Tampa, FL / Tampa Prep",Pure & Applied Mathematics,Stevens
13,Matt Villapiano,L/L,LHP,5’10”,185,Senior,"Howell, NJ / Freehold Township",Business & Technology,Stevens
14,Frank Tonina,R/R,C,5’9”,210,Graduate Student,"Seattle, WA / Seattle Academy of Arts & Sciences",Mechanical Engineering,Stevens
16,Chip Krese,R/R,INF,5’9”,160,Sophomore,"Alexandria, VA / Maret School",Mechanical Engineering,Stevens
17,Joe Gonzalez,R/R,RHP,6’0”,203,Senior,"Northport, NY / Northport",Civil Engineering,Stevens
18,Justin Doyle,L/R,RHP,6’3”,215,Graduate Student,"Henryville, IN / North Oldham",Fundamentals of Management,Stevens
19,Liam DeRubertis,R/R,OF,5’11”,187,Senior,"Pearl River, NY / Bergen Catholic",Mechanical Engineering,Stevens
20,Will Staviski,R/R,RHP,6’1”,212,Senior,"Brookfield, WI / Brookfield",Business & Technology,Stevens
22,Jordan Fisse,R/R,RHP,6’2”,201,Junior,"Ridgewood, NJ / Ridgewood",Biomedical Engineering,Stevens
23,Kirk Kinzler,R/R,RHP,6’4”,210,Senior,"Hayward, CA / Moreau Catholic",Chemical Engineering,Stevens
25,Robert Savely,L/R,OF,6’2”,180,Sophomore,"Mississauga, Ontario / Sainte Famille",Computer Engineering,Stevens
27,Yuvan Anthony,R/R,RHP,5’10”,182,First-Year,"Rolling Hills Estates, CA / Palos Verdes Peninsula",Quantitative Finance,Stevens
29,Tyler Wilke,R/R,INF,6’4”,212,Sophomore,"Hopedale, MA / Hopedale Junior-Senior",Quantitative Finance,Stevens
30,Will Corum,R/R,RHP,6’2”,170,First-Year,"Brentwood, TN / Brentwood",Quantitative Finance,Stevens
33,Cooper Poggioli,R/R,C/1B,6’4”,217,Sophomore,"Oakland, NJ / Ramapo",Engineering Management,Stevens
34,Garret Wolf,R/L,OF,6’1”,183,Sophomore,"Wayne, NJ / DePaul Catholic",Business & Technology,Stevens
35,Dean Qira,L/L,LHP,6’0”,204,First-Year,"Wayne, NJ / Wayne Hills",Finance,Stevens
36,Amresh Balakrishnan,R/R,RHP,6’4”,188,First-Year,"Woodcliff Lake, NJ / Pascack Hills",Computer Science,Stevens
37,Connor Herlihy,R/R,RHP,5’10”,155,First-Year,"Holden, MA / Brooks School",Electrical Engineering,Stevens
39,Henry Parson,L/R,RHP,6’2”,184,First-Year,"Philadelphia, PA / St. Joseph’s Prep",Quantitative Finance,Stevens
40,Jacob Buurman,R/R,RHP,6’6”,208,Graduate Student,"Sussex, NJ / Vernon Township",Quantitative Finance,Stevens
44,Quinton Sterling,R/R,OF,6’1”,185,Sophomore,"Palo Alto, CA / Gunn",Business & Technology,Stevens
45,Drew DiSanto,R/R,1B/OF/C,5’10”,183,First-Year,"Somers, NY / Iona Prep",Business Undecided,Stevens
46,Julian Garcia,L/L,LHP,6’1”,177,First-Year,"Indio, CA / Shadow Hills",Business Management,Stevens
47,Erik Sibbach,R/R,RHP,6’1”,217,Junior,"Boxford, MA / Masconomet Regional",Civil Engineering,Stevens
48,David Finch,R/R,RHP,6’2”,207,Sophomore,"Brentwood, TN / Brentwood",Business & Technology,Stevens
49,Edward “E.J.” Balewitz Jr.,L/R,C/1B/OF,5’9”,202,First-Year,"Kendall Park, NJ / Hun School of Princeton",Business & Technology,Stevens
50,Brady Solomon,L/L,LHP,6’9”,214,Sophomore,"Leesburg, VA / Loudoun County",Business & Technology,Stevens
53,Aaron Wong,R/R,C/INF,5’6”,142,First-Year,"Foster City, CA / San Mateo",Quantitative Finance,Stevens
,,,,,,,,,
