No.,Name,B/T,Pos.,Ht.,Wt.,Yr.,Hometown / High School,University
1,Ty Cowan,L/R,INF,5’10”,185,Sr.,"Maple Valley, WA / Liberty HS",Washington
2,Colton Bower,R/R,C,6’0”,210,R-Jr.,"Poulsbo, WA / North Kitsap",Washington
3,Chase Cretti,R/R,INF,5’9”,160,Jr.,"Federal Way, WA / Fife HS",Washington
4,Ethan Swidler,R/R,C,6’1”,200,Sr.,"San Diego, CA / Canyon Crest Academy",Washington
5,Will Cahill,L/R,OF,6’2”,175,Fr.,"Seattle, WA / Kennedy Catholic",Washington
6,Landon Young,R/R,INF,6’2”,190,Fr.,"Highland, CA / Aquinas HS",Washington
7,Blake Wilson,R/R,INF,5’10”,175,Jr.,"Trabuco Canyon, CA / Santa Margarita",Washington
9,Aidan Dougherty,R/R,OF,6’0”,200,Sr.,"Snoqualmie, WA / Mount Si HS",Washington
10,Braeden Terry,L/L,OF,6’0”,200,Gr.,"Bellevue, WA / Newport",Washington
11,Alexander Pearson,L/L,1B/OF,6’3”,205,Fr.,"Tigard, OR / Tigard HS",Washington
12,Casen Taggart,L/R,INF/OF,6’5”,225,Gr.,"Everett, WA / Everett",Washington
13,Mic Paul,L/L,OF,5’10”,190,Jr.,"Salt Lake City, UT / Olympus HS",Washington
15,Liam Lierman,L/L,P,6’1”,180,Fr.,"Eagle River, AK / Eagle River HS",Washington
16,Sam Nicholson,R/R,P,6’2”,180,Fr.,"Renton, WA / Hazen HS",Washington
17,Hayden Lewis,R/R,P,6’0”,185,Sr.,"Scottsdale, AZ / Chaparral HS",Washington
18,Nate Tichy,R/R,P,6’1”,180,So.,"San Jose, CA / Pioneer HS",Washington
19,Jackson Hotchkiss,R/R,OF,6’3”,190,So.,"Battle Ground, WA / Battle Ground HS",Washington
20,Carson Boesel,R/R,P,6’5”,220,Jr.,"Malott, WA / Okanogan HS",Washington
21,Jack Wade,L/L,P,6’1”,185,Jr.,"Mission Viejo, CA / Mission Viejo HS",Washington
22,Noah Kenney,R/R,P,6’2”,210,Jr.,"Rancho Cordova, CA / Legend HS",Washington
23,Daniel Porras,L/L,1B/OF,6’2”,190,Fr.,"Olalla, WA / Gig Harbor HS",Washington
24,Ian Draper,R/R,INF,6’1”,185,Fr.,"Puyallup, WA / Rogers HS",Washington
25,Tyler Walker,L/L,P,6’6”,230,Fr.,"Burlington, WA / Burlington-Edison HS",Washington
27,Justin Tims,L/R,P,6’3”,195,So.,"Anaheim, CA / Villa Park HS",Washington
28,Drew Johnson,L/L,1B,6’2”,200,So.,"Gilbert, AZ / Gilbert HS",Washington
29,Bryce Johnson,R/R,P,6’3”,220,So.,"Sammamish, WA / Eastlake HS",Washington
30,Kevin Spear,R/R,C,6’0”,190,Jr.,"Seattle, WA / Bishop Blanchet HS",Washington
31,Gunnar Nichols,L/R,P,6’4”,185,Sr.,"Burbank, CA / John Burroughs HS",Washington
34,Noah Sorensen,R/R,P,6’2”,210,So.,"Poulsbo, WA / North Kitsap HS",Washington
35,Peysen Sweeney,L/R,P,6’5”,235,R-Sr.,"Newcastle, WA / Liberty HS",Washington
37,Nolan Rowe,R/R,C/INF,6’0”,185,Fr.,"Poulsbo, WA / North Kitsap HS",Washington
38,Cooper McBride,L/L,P,5’11”,190,Jr.,"Arlington, WA / Arlington HS",Washington
39,Jackson Thomas,R/R,P,6’3”,200,Gr.,"Mesa, AZ / Mountain View HS",Washington
43,Luke Klooster,R/R,C,5’10”,190,So.,"Duvall, WA / O’Dea HS",Washington
45,Jaxson Gore,R/R,P,6’0”,190,R-So.,"Poulsbo, WA / North Kitsap HS",Washington
47,Jay Miller,R/R,P,6’6”,230,Sr.,"Corner Brook, NL / St. Charles College",Washington
51,Sam DeCarlo,R/R,INF,5’9”,190,Sr.,"Signal Hill, CA / Millikan HS",Washington
55,Tommy Brandenburg,R/R,P,5’11”,195,R-Sr.,"Kalama, WA / Kalama HS",Washington
99,Peyton Robidoux,L/R,P,6’2”,175,Fr.,"Smyrna, GA / Whitefield Academy",Washington
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
