#,Name,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,K,GDP,OB%,SF,SH,SB-ATT
19,Jake Bold,0.26,0.914,43,43,146,28,38,6,1,8,27,70,0.479,39,7,33,4,0.435,1,0,4-Feb
3,Jake Koonin,0.236,0.845,43,43,161,30,38,6,3,8,22,74,0.46,29,10,41,2,0.385,0,0,12-Oct
41,Caden Shapiro,0.236,0.757,43,43,161,25,38,4,1,6,24,62,0.385,30,5,42,1,0.372,0,0,6-Mar
34,Jake Kernodle,0.213,0.571,33,33,122,15,26,3,0,0,11,29,0.238,19,4,33,5,0.333,2,0,0 - 0
10,Nick Shenefelt,0.206,0.565,41,38,136,13,28,3,2,0,15,35,0.257,19,2,25,3,0.308,2,0,0 - 1
7,Tommy Googins,0.196,0.487,40,40,143,11,28,5,0,1,15,36,0.252,5,3,54,0,0.235,2,2,3-Jan
17,Grant Werdesheim,0.174,0.463,39,38,121,18,21,3,0,0,5,24,0.198,11,4,50,2,0.265,0,8,11-Nov
35,Jordan Kelly,0.148,0.434,41,36,122,12,18,5,0,0,8,23,0.189,17,0,50,0,0.245,4,0,8-Jun
24,Will Robbins,0.259,0.62,12,6,27,0,7,3,0,0,7,10,0.37,0,0,2,2,0.25,1,0,0 - 0
4,Kevin Blowers,0.239,0.563,32,28,109,10,26,3,0,0,10,29,0.266,8,1,39,2,0.297,0,0,0 - 0
11,Dylan Zdunek,0.194,0.452,9,9,31,3,6,2,0,0,2,8,0.258,0,0,8,2,0.194,0,0,0 - 0
1,Isaac Lamson,0.192,0.515,11,7,26,0,5,0,0,0,1,5,0.192,4,1,9,0,0.323,0,0,2-Feb
12,Joseph Zorc,0.156,0.418,19,12,45,3,7,1,0,0,1,8,0.178,3,2,17,2,0.24,0,0,0 - 0
43,Jay Mentink,0.152,0.559,17,9,33,4,5,3,0,0,3,8,0.242,7,1,16,0,0.317,0,0,0 - 1
5,Bryce Gayan,0.077,0.22,8,2,13,1,1,0,0,0,0,1,0.077,1,0,9,0,0.143,0,0,0 - 0
25,Kaden Kram,0,0,17,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0 - 0
