Player,AVG,OPS,GP,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%
Ryan Daniels,0.366,0.754,54,53,203,69,74,15,4,18,75,151,0.744,40,6,41,1,0.476,3,0,13-Oct,78,91,5,0.971
Caleb Shpur,0.363,0.589,58,58,240,70,87,10,3,8,44,127,0.529,23,7,33,3,0.43,2,6,43 - 50,174,1,0,1
Tyler Minick,0.355,0.734,54,53,214,64,76,11,2,22,74,157,0.734,30,4,42,4,0.437,4,0,15 - 17,155,32,8,0.959
Beau Root,0.341,0.405,40,29,123,33,42,3,1,5,26,62,0.504,17,6,29,1,0.444,2,1,6-Apr,19,0,0,1
Aidan Dougherty,0.333,0.447,46,39,150,30,50,11,0,2,31,67,0.447,17,6,18,2,0.417,7,2,17-Nov,71,2,0,1
Rob Rispoli,0.324,0.412,57,55,216,68,70,5,1,4,30,89,0.412,46,16,53,1,0.473,3,1,19 - 24,57,120,7,0.962
Sam Biller,0.296,0.563,58,53,199,48,59,14,0,13,60,112,0.563,25,19,38,1,0.415,5,1,23 - 29,96,3,2,0.98
Grant MacArthur,0.296,0.52,54,51,179,39,53,10,0,10,45,93,0.52,38,14,41,1,0.447,4,0,4-Feb,183,4,4,0.979
Connor Lane,0.28,0.528,39,31,125,22,35,11,1,6,34,66,0.528,7,1,36,2,0.314,4,1,1-Jan,304,20,5,0.985
Bryan Padilla,0.258,0.384,56,55,190,42,49,9,0,5,37,73,0.384,32,6,43,3,0.378,8,2,10-Aug,49,93,12,0.922
Matt Garbowski,0.233,0.302,32,28,86,14,20,3,0,1,7,26,0.302,15,2,14,4,0.356,6,1,2-Feb,236,14,1,0.996
Anthony Belisario,0.205,0.295,31,9,44,10,9,1,0,1,2,13,0.295,7,1,16,0,0.327,0,0,2-Jan,32,4,0,1
Maddix Dalena,0.176,0.235,11,8,34,4,6,2,0,0,4,8,0.235,1,2,16,1,0.237,1,0,0 - 0,53,3,0,1
Carter Groen,0.313,0.563,7,5,16,3,5,1,0,1,5,9,0.563,3,1,5,1,0.409,2,0,0 - 0,12,0,1,0.923
Gabriel Tirado,0.182,0.364,12,4,22,2,4,1,0,1,4,8,0.364,3,0,9,0,0.28,0,0,0 - 0,1,0,0,1
Cayden Suchy,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 - 0,0,1,1,0.5
